,Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Segment
52,100250067,28,7,21180545.361970317,5,5,4,554,14,Champions
53,100250069,17,1,359574.37445712846,5,1,1,511,7,Potential Loyalist
54,100250070,71,4,12772219.54417764,3,4,4,344,11,Loyal Customers
55,100250071,155,1,917802.6744792026,2,1,1,211,4,Hibernating
56,100250072,171,1,2399458.9121838342,1,1,2,112,4,Hibernating
57,100250073,44,2,481795.5179912605,4,3,1,431,8,Potential Loyalist
58,100250074,33,1,379733.58158629126,4,1,1,411,6,At Risk
59,100250075,132,1,509528.7298923545,2,1,1,211,4,Hibernating
60,100250076,102,2,19509437.479889587,3,3,4,334,10,Loyal Customers
61,100250078,164,1,244972.51011842408,1,1,1,111,3,Hibernating
62,100250079,23,1,6175697.143290771,5,1,3,513,9,Potential Loyalist
63,100250080,36,4,10838104.165475477,4,4,4,444,12,Loyal Customers
64,100250081,16,4,106331393.91282353,5,4,5,545,14,Champions
65,100250082,166,1,12126766.930482507,1,1,4,114,6,At Risk
66,100250083,19,1,6579713.7366314605,5,1,3,513,9,Potential Loyalist
67,100250084,5,4,9533170.11443352,5,4,4,544,13,Champions
68,100250085,8,3,30819718.301223002,5,4,5,545,14,Champions
69,100250087,206,1,1644874.1029643333,1,1,2,112,4,Hibernating
70,100250088,16,4,2514680.0817249552,5,4,2,542,11,Loyal Customers
71,100250089,184,2,2460626.203056263,1,3,2,132,6,At Risk
72,100250090,26,2,4471561.019060645,5,3,3,533,11,Loyal Customers
73,100250091,166,1,1056947.2897204836,1,1,1,111,3,Hibernating
74,100250093,58,3,10865206.300473368,3,4,4,344,11,Loyal Customers
75,100250094,119,1,531148.5135924434,2,1,1,211,4,Hibernating
76,100250095,172,1,263117.09289211745,1,1,1,111,3,Hibernating
77,100250096,20,2,1922765.135567631,5,3,2,532,10,Loyal Customers
78,100250097,154,1,23375136.515609182,2,1,4,214,7,Potential Loyalist
79,100250099,137,1,1613263.0075482582,2,1,2,212,5,At Risk
80,100250100,30,1,30877351.21899539,5,1,5,515,11,Loyal Customers
81,100250102,74,2,44925506.56499128,3,3,5,335,11,Loyal Customers
82,100250103,47,2,800224.5383806605,4,3,1,431,8,Potential Loyalist
83,100250104,111,1,6569073.08835929,2,1,3,213,6,At Risk
84,100250105,24,2,4375273.436201321,5,3,3,533,11,Loyal Customers
85,100250106,37,2,50607767.87647633,4,3,5,435,12,Loyal Customers
86,100250108,5,2,17529353.72875119,5,3,4,534,12,Loyal Customers
87,100250109,22,1,28412484.164724734,5,1,4,514,10,Loyal Customers
88,100250110,51,2,15567284.49409991,4,3,4,434,11,Loyal Customers
89,100250111,37,5,156550485.6945758,4,5,5,455,14,Champions
90,100250112,149,2,14599829.256714731,2,3,4,234,9,Potential Loyalist
91,100250113,177,3,12834323.977955256,1,4,4,144,9,Potential Loyalist
92,100250114,22,5,131645044.96978743,5,5,5,555,15,Champions
93,100250117,123,1,280557.55158666644,2,1,1,211,4,Hibernating
94,100250118,41,1,1087720.7119147314,4,1,2,412,7,Potential Loyalist
95,100250119,57,3,41841954.688874535,4,4,5,445,13,Champions
96,100250120,43,2,3848371.5851921784,4,3,3,433,10,Loyal Customers
97,100250121,65,4,99070315.29378134,3,4,5,345,12,Loyal Customers
98,100250122,47,1,659718.1298415828,4,1,1,411,6,At Risk
99,100250123,34,2,2228649.015000798,4,3,2,432,9,Potential Loyalist
100,100250124,87,1,994414.196768052,3,1,1,311,5,At Risk
101,100250125,152,1,191327.69433234222,2,1,1,211,4,Hibernating
102,100250126,67,1,19735086.602682464,3,1,4,314,8,Potential Loyalist
103,100250127,168,2,1171007.4346544447,1,3,2,132,6,At Risk
104,100250129,216,1,156730.2421374564,1,1,1,111,3,Hibernating
105,100250130,42,5,27608172.724101648,4,5,4,454,13,Champions
106,100250131,196,1,1774547.6272268912,1,1,2,112,4,Hibernating
107,100250132,8,4,5186273.509433598,5,4,3,543,12,Loyal Customers
108,100250133,157,2,26710755.21986021,1,3,4,134,8,Potential Loyalist
109,100250135,44,2,554400.565250597,4,3,1,431,8,Potential Loyalist
110,100250136,37,2,453170.28460681275,4,3,1,431,8,Potential Loyalist
111,100250137,146,1,264112.0236659993,2,1,1,211,4,Hibernating
112,100250139,140,1,2591036.6258846284,2,1,2,212,5,At Risk
113,100250141,63,2,7849037.174978532,3,3,3,333,9,Potential Loyalist
114,100250142,26,2,4791304.884698155,5,3,3,533,11,Loyal Customers
115,100250144,48,6,68949942.66810302,4,5,5,455,14,Champions
116,100250145,152,2,14676208.514924195,2,3,4,234,9,Potential Loyalist
117,100250146,29,1,9293716.275945386,5,1,4,514,10,Loyal Customers
118,100250147,135,2,1086166.6918408922,2,3,2,232,7,Potential Loyalist
119,100250148,149,2,74475903.6489457,2,3,5,235,10,Loyal Customers
120,100250150,210,1,24628562.19648022,1,1,4,114,6,At Risk
121,100250151,112,3,10251175.074056847,2,4,4,244,10,Loyal Customers
122,100250152,135,2,6208952.513158875,2,3,3,233,8,Potential Loyalist
123,100250153,41,2,91274438.40906516,4,3,5,435,12,Loyal Customers
124,100250155,4,7,160228437.41462368,5,5,5,555,15,Champions
125,100250156,111,2,3231114.5332499365,2,3,2,232,7,Potential Loyalist
126,100250157,37,1,1499267.442344782,4,1,2,412,7,Potential Loyalist
127,100250158,129,2,74769129.24259055,2,3,5,235,10,Loyal Customers
128,100250160,37,5,41294817.58533687,4,5,5,455,14,Champions
129,100250161,164,1,1206702.603303316,1,1,2,112,4,Hibernating
130,100250162,42,3,66840660.84231499,4,4,5,445,13,Champions
131,100250163,62,1,23635078.58853297,3,1,4,314,8,Potential Loyalist
132,100250164,41,3,5388228.703524431,4,4,3,443,11,Loyal Customers
133,100250165,30,3,18663269.408343792,5,4,4,544,13,Champions
134,100250166,28,4,100021608.27821319,5,4,5,545,14,Champions
135,100250167,124,3,18346865.597800553,2,4,4,244,10,Loyal Customers
136,100250168,199,1,938711.3139824899,1,1,1,111,3,Hibernating
137,100250169,25,1,472160.7121336428,5,1,1,511,7,Potential Loyalist
138,100250170,63,2,58699285.94944142,3,3,5,335,11,Loyal Customers
139,100250172,141,1,7057891.317597265,2,1,3,213,6,At Risk
140,100250174,25,4,93868873.71237995,5,4,5,545,14,Champions
141,100250175,149,2,1315097.8259055887,2,3,2,232,7,Potential Loyalist
142,100250176,51,2,3795658.0501842666,4,3,3,433,10,Loyal Customers
143,100250177,5,2,2488742.43187794,5,3,2,532,10,Loyal Customers
144,100250178,22,8,135851327.16742,5,5,5,555,15,Champions
145,100250179,64,5,24300735.010472387,3,5,4,354,12,Loyal Customers
146,100250180,22,7,96343402.57857169,5,5,5,555,15,Champions
147,100250181,11,6,185327283.93927777,5,5,5,555,15,Champions
148,100250182,42,3,14648181.173621228,4,4,4,444,12,Loyal Customers
149,100250183,158,2,853256.4790503031,1,3,1,131,5,At Risk
150,100250184,35,3,1054200.616331326,4,4,1,441,9,Potential Loyalist
151,100250185,212,1,978350.9623951255,1,1,1,111,3,Hibernating
152,100250187,24,7,11351316.938452335,5,5,4,554,14,Champions
153,100250188,11,8,61283237.42806998,5,5,5,555,15,Champions
154,100250189,77,1,775302.6022275344,3,1,1,311,5,At Risk
155,100250191,111,1,230725.13732879335,2,1,1,211,4,Hibernating
156,100250192,32,4,66389948.715717524,5,4,5,545,14,Champions
157,100250193,50,1,6960680.366591509,4,1,3,413,8,Potential Loyalist
158,100250198,28,2,9612515.56205096,5,3,4,534,12,Loyal Customers
159,100250199,180,1,27943960.949510682,1,1,4,114,6,At Risk
160,100250201,219,1,14680973.361858578,1,1,4,114,6,At Risk
161,100250202,44,1,165157.70803672713,4,1,1,411,6,At Risk
162,100250203,162,1,17451516.84362068,1,1,4,114,6,At Risk
163,100250205,165,1,1587648.3464010174,1,1,2,112,4,Hibernating
164,100250207,30,4,9851498.305807471,5,4,4,544,13,Champions
165,100250209,141,2,14422651.628870642,2,3,4,234,9,Potential Loyalist
166,100250211,162,1,1447567.7578089486,1,1,2,112,4,Hibernating
167,100250214,109,2,4672854.961029936,3,3,3,333,9,Potential Loyalist
168,100250215,46,1,1246681.3103785955,4,1,2,412,7,Potential Loyalist
169,100250216,63,1,5178007.7833211515,3,1,3,313,7,Potential Loyalist
170,100250218,40,5,2152015.315072244,4,5,2,452,11,Loyal Customers
171,100250219,55,10,187873925.37507755,4,5,5,455,14,Champions
172,100250220,56,5,125026140.43854046,4,5,5,455,14,Champions
173,100250221,191,1,7973347.94738118,1,1,3,113,5,At Risk
174,100250222,68,1,2720835.756107093,3,1,2,312,6,At Risk
175,100250223,6,5,6262456.8014434995,5,5,3,553,13,Champions
176,100250225,141,1,9532490.580817198,2,1,4,214,7,Potential Loyalist
177,100250226,161,2,11504864.052596383,1,3,4,134,8,Potential Loyalist
178,100250227,25,1,5209600.984191419,5,1,3,513,9,Potential Loyalist
179,100250228,108,1,2190338.23625942,3,1,2,312,6,At Risk
180,100250230,98,3,1698933.6933937478,3,4,2,342,9,Potential Loyalist
181,100250232,44,3,4567625.033014596,4,4,3,443,11,Loyal Customers
182,100250233,54,7,79083157.84975478,4,5,5,455,14,Champions
183,100250234,92,1,39220579.91658651,3,1,5,315,9,Potential Loyalist
184,100250235,42,2,36182812.004675835,4,3,5,435,12,Loyal Customers
185,100250236,153,1,1976989.9745882782,2,1,2,212,5,At Risk
186,100250238,143,3,53313061.55273098,2,4,5,245,11,Loyal Customers
187,100250239,15,4,19222963.279797062,5,4,4,544,13,Champions
188,100250240,124,1,771921.474213225,2,1,1,211,4,Hibernating
189,100250241,35,1,474740.55852058827,4,1,1,411,6,At Risk
190,100250242,199,1,4684748.3435617685,1,1,3,113,5,At Risk
191,100250243,141,2,108225.26608604414,2,3,1,231,6,At Risk
192,100250244,11,2,1124177.2598148584,5,3,2,532,10,Loyal Customers
193,100250247,33,1,2755451.175764206,4,1,2,412,7,Potential Loyalist
194,100250248,160,1,3079384.694208153,1,1,2,112,4,Hibernating
195,100250249,51,1,1104487.1806751492,4,1,2,412,7,Potential Loyalist
196,100250250,16,5,3719456.514337644,5,5,3,553,13,Champions
197,100250252,41,1,9377785.172597557,4,1,4,414,9,Potential Loyalist
198,100250253,111,1,3454551.2836306803,2,1,2,212,5,At Risk
199,100250254,113,4,19807402.048071757,2,4,4,244,10,Loyal Customers
200,100250255,14,1,18132875.24921031,5,1,4,514,10,Loyal Customers
201,100250256,142,2,11676131.161510823,2,3,4,234,9,Potential Loyalist
202,100250257,152,2,14926011.914237298,2,3,4,234,9,Potential Loyalist
203,100250259,192,1,7434959.53394901,1,1,3,113,5,At Risk
204,100250260,47,3,10016627.171756206,4,4,4,444,12,Loyal Customers
205,100250261,174,1,37736.36604214508,1,1,1,111,3,Hibernating
206,100250263,13,2,80501468.14282762,5,3,5,535,13,Champions
207,100250264,45,7,10645261.26354291,4,5,4,454,13,Champions
208,100250265,216,1,207644.4692796451,1,1,1,111,3,Hibernating
209,100250266,67,6,99231137.52825166,3,5,5,355,13,Champions
210,100250267,136,2,2647824.517744881,2,3,2,232,7,Potential Loyalist
211,100250268,44,1,245019.2618763709,4,1,1,411,6,At Risk
212,100250269,24,1,9412838.270147892,5,1,4,514,10,Loyal Customers
213,100250272,40,2,16129972.923940118,4,3,4,434,11,Loyal Customers
214,100250273,25,1,303376.1624006095,5,1,1,511,7,Potential Loyalist
215,100250274,10,1,6012390.100375088,5,1,3,513,9,Potential Loyalist
216,100250275,170,1,10580674.061126944,1,1,4,114,6,At Risk
217,100250276,167,3,80062555.47046994,1,4,5,145,10,Loyal Customers
218,100250278,65,6,76089616.8518705,3,5,5,355,13,Champions
219,100250279,166,1,24186789.81170901,1,1,4,114,6,At Risk
220,100250280,198,1,84814.04387789691,1,1,1,111,3,Hibernating
221,100250281,205,1,15191917.201118471,1,1,4,114,6,At Risk
222,100250282,35,4,89457582.40373711,4,4,5,445,13,Champions
223,100250283,50,1,135967.7365240872,4,1,1,411,6,At Risk
224,100250284,199,2,5318476.429339232,1,3,3,133,7,Potential Loyalist
225,100250285,194,3,2414979.7845951887,1,4,2,142,7,Potential Loyalist
226,100250286,8,4,12918450.566213282,5,4,4,544,13,Champions
227,100250287,137,1,9486506.149417482,2,1,4,214,7,Potential Loyalist
228,100250288,137,3,33875574.23434851,2,4,5,245,11,Loyal Customers
229,100250290,121,1,7669419.044681375,2,1,3,213,6,At Risk
230,100250291,83,2,1120834.327598323,3,3,2,332,8,Potential Loyalist
231,100250292,95,2,5780332.469228857,3,3,3,333,9,Potential Loyalist
232,100250293,59,3,27632505.465698868,3,4,4,344,11,Loyal Customers
233,100250294,12,7,97514244.03063555,5,5,5,555,15,Champions
234,100250295,82,1,1811671.2051811216,3,1,2,312,6,At Risk
235,100250297,20,1,4613967.566442216,5,1,3,513,9,Potential Loyalist
236,100250298,55,2,11874305.556896111,4,3,4,434,11,Loyal Customers
237,100250299,58,7,12736320.581873279,3,5,4,354,12,Loyal Customers
238,100250300,114,3,15528825.18520625,2,4,4,244,10,Loyal Customers
239,100250301,75,1,2275.086271133078,3,1,1,311,5,At Risk
240,100250302,7,3,3058045.882989385,5,4,2,542,11,Loyal Customers
241,100250303,60,5,8495544.307119071,3,5,3,353,11,Loyal Customers
242,100250305,51,1,16457897.163998907,4,1,4,414,9,Potential Loyalist
243,100250306,215,1,8813755.435859242,1,1,3,113,5,At Risk
244,100250307,52,2,1259543.1481467506,4,3,2,432,9,Potential Loyalist
245,100250308,162,1,618482.6654264481,1,1,1,111,3,Hibernating
246,100250309,208,1,1185674.0869860027,1,1,2,112,4,Hibernating
247,100250311,12,5,69852960.80337387,5,5,5,555,15,Champions
248,100250313,36,1,35799186.292725414,4,1,5,415,10,Loyal Customers
249,100250314,7,7,175169303.6361786,5,5,5,555,15,Champions
250,100250315,40,1,1230.1475188186762,4,1,1,411,6,At Risk
251,100250316,14,2,4212446.041941038,5,3,3,533,11,Loyal Customers
252,100250318,103,2,48656328.99497205,3,3,5,335,11,Loyal Customers
253,100250319,187,1,141565.29228144433,1,1,1,111,3,Hibernating
254,100250320,52,2,1006348.3356328111,4,3,1,431,8,Potential Loyalist
255,100250321,67,2,1118993.2666435798,3,3,2,332,8,Potential Loyalist
256,100250322,0,7,26476437.811182078,5,5,4,554,14,Champions
257,100250323,59,4,51193677.604363374,3,4,5,345,12,Loyal Customers
258,100250324,70,9,10391472.743257305,3,5,4,354,12,Loyal Customers
259,100250325,167,1,565262.6815658803,1,1,1,111,3,Hibernating
260,100250329,43,2,659891.7290689861,4,3,1,431,8,Potential Loyalist
261,100250330,144,2,69082.53792231844,2,3,1,231,6,At Risk
262,100250331,157,1,7079384.011615958,1,1,3,113,5,At Risk
263,100250333,8,2,22668021.27976548,5,3,4,534,12,Loyal Customers
264,100250335,169,1,290571.05729328434,1,1,1,111,3,Hibernating
265,100250336,53,6,122183131.66172582,4,5,5,455,14,Champions
266,100250337,63,2,78237215.90129182,3,3,5,335,11,Loyal Customers
267,100250339,124,1,26113227.31809838,2,1,4,214,7,Potential Loyalist
268,100250340,36,1,18933170.655304506,4,1,4,414,9,Potential Loyalist
269,100250341,153,2,2126838.9301208565,2,3,2,232,7,Potential Loyalist
270,100250342,44,3,67951898.05030626,4,4,5,445,13,Champions
271,100250343,156,2,286887.5131810802,2,3,1,231,6,At Risk
272,100250344,10,1,8346258.64683788,5,1,3,513,9,Potential Loyalist
273,100250345,164,1,237594.9254416955,1,1,1,111,3,Hibernating
274,100250346,118,1,1704685.3826783067,2,1,2,212,5,At Risk
275,100250347,65,5,6278969.50618653,3,5,3,353,11,Loyal Customers
276,100250348,17,7,56598680.016066045,5,5,5,555,15,Champions
277,100250353,55,4,38034514.5984835,4,4,5,445,13,Champions
278,100250355,91,1,22273501.122956235,3,1,4,314,8,Potential Loyalist
279,100250356,61,1,48091948.62096666,3,1,5,315,9,Potential Loyalist
280,100250357,46,2,21842568.723937135,4,3,4,434,11,Loyal Customers
281,100250358,15,9,15201508.442361485,5,5,4,554,14,Champions
282,100250359,183,2,35867322.77422969,1,3,5,135,9,Potential Loyalist
283,100250360,117,2,1405049.976135727,2,3,2,232,7,Potential Loyalist
284,100250361,35,3,18983333.35419696,4,4,4,444,12,Loyal Customers
285,100250362,0,4,73659875.59451422,5,4,5,545,14,Champions
286,100250363,79,3,3291213.2735384274,3,4,2,342,9,Potential Loyalist
287,100250364,124,1,19788.410134641337,2,1,1,211,4,Hibernating
288,100250366,171,1,3285239.19779056,1,1,2,112,4,Hibernating
289,100250367,57,1,86948.10050419896,4,1,1,411,6,At Risk
290,100250368,169,1,4138961.5909931795,1,1,3,113,5,At Risk
291,100250369,31,2,37078038.18455885,5,3,5,535,13,Champions
292,100250370,100,3,61785826.50370553,3,4,5,345,12,Loyal Customers
293,100250371,22,7,124948031.00323036,5,5,5,555,15,Champions
294,100250372,170,1,20295322.808052953,1,1,4,114,6,At Risk
295,100250373,215,1,232792.82050953998,1,1,1,111,3,Hibernating
296,100250374,8,4,17992335.22607907,5,4,4,544,13,Champions
297,100250375,209,1,7212320.643874412,1,1,3,113,5,At Risk
298,100250376,40,3,9777965.38498342,4,4,4,444,12,Loyal Customers
299,100250377,34,5,39402296.439854115,4,5,5,455,14,Champions
300,100250378,51,1,136511.57344580852,4,1,1,411,6,At Risk
301,100250379,205,2,2721699.8924485794,1,3,2,132,6,At Risk
302,100250380,157,2,3447970.4986139163,1,3,2,132,6,At Risk
303,100250381,13,2,1829649.9275066718,5,3,2,532,10,Loyal Customers
304,100250382,173,1,153717.7850610951,1,1,1,111,3,Hibernating
305,100250383,9,1,40618.724871435,5,1,1,511,7,Potential Loyalist
306,100250385,61,4,4840589.87022256,3,4,3,343,10,Loyal Customers
307,100250386,50,3,442613.6888436052,4,4,1,441,9,Potential Loyalist
308,100250387,65,8,100851946.9794324,3,5,5,355,13,Champions
309,100250388,92,2,105459.31829694526,3,3,1,331,7,Potential Loyalist
310,100250389,24,1,2483334.2858623182,5,1,2,512,8,Potential Loyalist
311,100250391,191,2,4664305.740019003,1,3,3,133,7,Potential Loyalist
312,100250392,170,1,14773905.818809185,1,1,4,114,6,At Risk
313,100250393,56,4,108679305.20300496,4,4,5,445,13,Champions
314,100250394,45,7,151690650.70173755,4,5,5,455,14,Champions
315,100250397,30,1,3576036.9806736456,5,1,3,513,9,Potential Loyalist
316,100250398,38,3,466002.7407264761,4,4,1,441,9,Potential Loyalist
317,100250399,26,1,45151157.06447827,5,1,5,515,11,Loyal Customers
318,100250401,183,1,1180118.2984548851,1,1,2,112,4,Hibernating
319,100250403,93,2,1777127.527902545,3,3,2,332,8,Potential Loyalist
320,100250404,198,1,10546582.02393469,1,1,4,114,6,At Risk
321,100250405,135,3,33501379.41602266,2,4,5,245,11,Loyal Customers
322,100250406,22,2,37856769.13189743,5,3,5,535,13,Champions
323,100250407,131,3,3927832.279544698,2,4,3,243,9,Potential Loyalist
324,100250408,62,6,5930013.074324261,3,5,3,353,11,Loyal Customers
325,100250409,70,3,11159186.674267821,3,4,4,344,11,Loyal Customers
326,100250411,152,4,517151.6264298717,2,4,1,241,7,Potential Loyalist
327,100250412,56,3,71798163.08725044,4,4,5,445,13,Champions
328,100250413,211,1,5075886.624853702,1,1,3,113,5,At Risk
329,100250415,42,2,694955.7531610205,4,3,1,431,8,Potential Loyalist
330,100250416,61,3,24986973.05498571,3,4,4,344,11,Loyal Customers
331,100250417,46,2,6032581.44873207,4,3,3,433,10,Loyal Customers
332,100250418,156,2,132970.28836348827,2,3,1,231,6,At Risk
333,100250419,71,1,373319.00907284877,3,1,1,311,5,At Risk
334,100250420,65,1,1238788.9709021212,3,1,2,312,6,At Risk
335,100250421,211,1,1205298.54367197,1,1,2,112,4,Hibernating
336,100250422,124,2,6313133.922313925,2,3,3,233,8,Potential Loyalist
337,100250423,115,1,296983.21141266805,2,1,1,211,4,Hibernating
338,100250426,68,1,788689.0654247268,3,1,1,311,5,At Risk
339,100250428,160,3,41254612.75157283,1,4,5,145,10,Loyal Customers
340,100250430,118,1,3715938.7485159477,2,1,3,213,6,At Risk
341,100250432,212,1,3663829.9946889495,1,1,3,113,5,At Risk
342,100250433,26,1,294482.5909078388,5,1,1,511,7,Potential Loyalist
343,100250435,155,1,2330301.6831600685,2,1,2,212,5,At Risk
344,100250436,119,4,69651152.79708916,2,4,5,245,11,Loyal Customers
345,100250437,88,1,2110880.0918923165,3,1,2,312,6,At Risk
346,100250439,13,4,9987275.125187932,5,4,4,544,13,Champions
347,100250440,117,1,1816227.2619097615,2,1,2,212,5,At Risk
348,100250442,100,4,6698083.960347468,3,4,3,343,10,Loyal Customers
349,100250443,181,1,31044021.886252686,1,1,5,115,7,Potential Loyalist
350,100250444,197,1,258708.89991427268,1,1,1,111,3,Hibernating
351,100250445,212,1,1414500.8238883505,1,1,2,112,4,Hibernating
352,100250446,106,2,6058133.269263446,3,3,3,333,9,Potential Loyalist
353,100250447,189,1,35946224.12508644,1,1,5,115,7,Potential Loyalist
354,100250448,14,8,9657636.440602997,5,5,4,554,14,Champions
355,100250450,137,1,399560.1834767417,2,1,1,211,4,Hibernating
356,100250451,133,1,70654.80944205483,2,1,1,211,4,Hibernating
357,100250452,72,1,1212940.795488786,3,1,2,312,6,At Risk
358,100250453,162,2,73536732.42268719,1,3,5,135,9,Potential Loyalist
359,100250454,68,3,87324180.14370129,3,4,5,345,12,Loyal Customers
360,100250455,170,1,39544517.76168205,1,1,5,115,7,Potential Loyalist
361,100250456,169,2,8432082.734379016,1,3,3,133,7,Potential Loyalist
362,100250457,143,1,5675557.496958372,2,1,3,213,6,At Risk
363,100250458,167,1,586641.9330618881,1,1,1,111,3,Hibernating
364,100250460,171,1,1284005.3981198175,1,1,2,112,4,Hibernating
365,100250461,99,4,3088516.265283563,3,4,2,342,9,Potential Loyalist
366,100250462,32,1,36043439.84850482,5,1,5,515,11,Loyal Customers
367,100250464,55,2,6148877.979049715,4,3,3,433,10,Loyal Customers
368,100250465,34,4,11237017.747093378,4,5,4,454,13,Champions
369,100250466,153,1,1101624.4361141752,2,1,2,212,5,At Risk
370,100250467,166,3,5758778.2952627195,1,4,3,143,8,Potential Loyalist
371,100250468,48,3,19413745.914215885,4,4,4,444,12,Loyal Customers
372,100250469,213,1,8141767.472191733,1,1,3,113,5,At Risk
373,100250471,90,3,1327583.4160583296,3,4,2,342,9,Potential Loyalist
374,100250474,180,1,3052550.008982412,1,1,2,112,4,Hibernating
375,100250475,155,1,3035232.6041271845,2,1,2,212,5,At Risk
376,100250476,47,1,22445.822426679857,4,1,1,411,6,At Risk
377,100250477,61,2,51240415.292762026,3,3,5,335,11,Loyal Customers
378,100250478,50,1,4443668.335639045,4,1,3,413,8,Potential Loyalist
379,100250479,102,2,886779.840711297,3,3,1,331,7,Potential Loyalist
380,100250480,89,1,42648911.81980627,3,1,5,315,9,Potential Loyalist
381,100250481,186,1,24605201.160067923,1,1,4,114,6,At Risk
382,100250482,187,1,2219730.5341735203,1,1,2,112,4,Hibernating
383,100250484,30,1,42194827.08287277,5,1,5,515,11,Loyal Customers
384,100250485,41,3,1759337.9285336202,4,4,2,442,10,Loyal Customers
385,100250486,80,1,1689692.4769249316,3,1,2,312,6,At Risk
386,100250487,112,2,5273338.852506058,2,3,3,233,8,Potential Loyalist
387,100250489,46,3,3485483.222020745,4,4,3,443,11,Loyal Customers
388,100250490,124,2,6506841.21212866,2,3,3,233,8,Potential Loyalist
389,100250491,26,1,392463.1973573381,5,1,1,511,7,Potential Loyalist
390,100250494,155,2,1544230.9447212769,2,3,2,232,7,Potential Loyalist
391,100250495,144,3,295758.5491898438,2,4,1,241,7,Potential Loyalist
392,100250496,40,1,49036983.306818604,4,1,5,415,10,Loyal Customers
393,100250499,187,1,439866.8120641566,1,1,1,111,3,Hibernating
394,100250500,87,5,324612.34862879716,3,5,1,351,9,Potential Loyalist
395,100250501,61,1,992099.8679501992,3,1,1,311,5,At Risk
396,100250503,69,3,11097051.747641975,3,4,4,344,11,Loyal Customers
397,100250504,57,3,4342022.456659506,4,4,3,443,11,Loyal Customers
